tweet,final_label
so after church i went to the mall with my parents i got a new backpack that can fit all my schoolbooks and my laptop,POSITIVE
i cant believe my little brother is married,NEUTRAL
finallythe internet is up the server is down in phoenix and it was up,NEGATIVE
so cold,NEGATIVE
my mum loved the camp rock mothers day card i gave her i knew she would happy mothers day from new zealand haha ily lots,POSITIVE
nice to meet you mike video producer cf miami,POSITIVE
just left work inventory was way easy and i got to put in my highschool musical cd it was amazing goodnight goodnight everyone,POSITIVE
loved those books did you read the host amazing storyteller,POSITIVE
i dont understand the whole follow friday thing,NEGATIVE
watching some movie and playin on my computer,NEUTRAL
im super tired and probably could sleep all day but i work to today in tool rental oh the joy,NEGATIVE
i shall post a notice in town so us cork ladies know to watch out lol you had fun then sevens were the business,NEUTRAL
happy mothers day,POSITIVE
yes she got all lovey with him he returned the lovething led another also wants know y ur mad at her,POSITIVE
aww sorry boo i havent bought a printer in years my canon id is still making amazing prints have zero fisheye exp,NEUTRAL
no problem these boxes are made for undernourished it professionals,POSITIVE
its blockbuster week in new zealand wolverine tomorrow followed by star trek on thursday,POSITIVE
oh had like the most amazing weekend sunshine part white wine now its back to the rehearsals regime nice,POSITIVE
httptwitpiccomltb finito hunk ah hunk of burning love i do believe my camera phone is stuffed stupid blurryness,NEGATIVE
hiwanna see again again with me ill fly to cali and see it with you,NEUTRAL
blogtv was fun cant wait til next time,POSITIVE
here at work having lunch a lot of work and not enough help,NEGATIVE
mmmm chocky cake in the oven smells delicious,POSITIVE
well theres you another twiiter personermdifficult to say really lets just say that you could fit all into a minibus,NEGATIVE
so freaking tired its like my body refuses to move,NEGATIVE
epic fail with the chocolate fountain that got clogged,NEGATIVE
i just wanna be better already,POSITIVE
have fun focus grouping i have no participants as of yet,POSITIVE
thanks am trying keeping my chin up ouch,NEUTRAL
they gave me a regular coke instead of diet really,NEUTRAL
been playing with the new phone think i got it all figured out,NEUTRAL
omg i want full jb hey baby song,NEUTRAL
tinkered with opensource virtualbox win yet wouldve loved to have seen you hay always unfortunate timing for students,NEUTRAL
i think the sun and the moon are gods way of reminding us that hes always watching over us,NEUTRAL
watching twilight and eating potato salad,NEUTRAL
in bed a cuppa tv on all this while husband is cooking life is sweet,POSITIVE
also is there a strategic it plan that maps to the bus strategic needs that deliver value over time no more waterfall,NEUTRAL
thanks enjoy the movie i hope all is well with you te,POSITIVE
amumlaut oh no im very sorry to hear,NEGATIVE
back home again bathing kids ironing clothes for hubby nephews graduation tonight i remember when he was,NEUTRAL
glad i went out glad i didnt leave early and glad to be afterpartying it up beths im back,POSITIVE
is texting,NEUTRAL
has a headache,NEGATIVE
on my way to school of my last friday of high school ever and i dont even get to see holly gabbie and hannah,NEGATIVE
better check youtube,NEUTRAL
i cant get through,NEGATIVE
no clubsno partiesive spent my friday and saturday night workin on music and am quit content,NEUTRAL
whaaaat a strong rain just came over us here in santa clara i wish i could sleep but i got to attend to an important meeting,NEGATIVE
he wont reply,NEUTRAL
won a gps at post prom,POSITIVE
watching one of my fav movies sparkle go get food later,POSITIVE
hey thats my bug and my martini glasses,NEUTRAL
for those of us whos hearts break a little more this time of year know that you are loved and next week is a new week,NEUTRAL
rlly dead descanse em paz luto sad rip,NEGATIVE
loli think its safe to say that we are not alone in our thinking,POSITIVE
yo there if you guys want to make a road trip look me up in waraw or u wait too long taipei,NEUTRAL
had a great weekend with johnback to work for days then going to illinois on thurs fri for more gigs with john,POSITIVE
the things you say your purple prose just gives you away what the hell is that even supposed to mean casino where music goes to die,NEGATIVE
dreamwidth a new journaling site that just went into open beta,NEUTRAL
florida should be nice,POSITIVE
im so getting the cold,NEUTRAL
bec vs fat food winner fat food but not this weeknend ill beat it,NEUTRAL
im sad twits im going to miss musiq soulchild and anthony hamilton ugggghhhh i love them,NEUTRAL
at school blagh yay im getting the iphone in august,POSITIVE
whos the one always working now oh yeah still me,NEUTRAL
oh great i think im getting sick,NEUTRAL
awe i am sorry probably true,POSITIVE
i have no idea whether or not to drink anymore,NEUTRAL
are you sure you want to know its httpbitlyauuac it makes me want to run in other news happy star wars day,POSITIVE
jus got done swimming soon ima need to stay outta the sun,NEUTRAL
today celebrating two new people becoming australian citizens i am hoping for a good dinner,POSITIVE
heeeeey baby where are you,NEUTRAL
contemplating whether or not i will go to prom as i listen to my s playlist somethings tellin me it might be you stephen bishop,NEUTRAL
home alone on a friday night doesnt get sadder than that folks,NEGATIVE
is back in fine old melbourne town,NEUTRAL
beez im heterochallenged but still didnt care for milk i thought it was boring,NEGATIVE
i treat my hair so badly its revenge for it turning grey prematurely,NEGATIVE
yeah theyre great i think well hear more of them in the years to come,POSITIVE
thanks for the advice went to the doctors and slept a lot yesterday must be the meds,POSITIVE
httptwitpiccomwkzi before prom this is when all the chaos began,NEGATIVE
im so mad i cant go to thatyoure like an hour away from me,NEGATIVE
mozert requiem tonight,NEUTRAL
misses the good old days,NEGATIVE
my birthday is a week from today,NEUTRAL
well on a normal day id already be done with workunfortunately this is not a normal day which means ill be in the office till late,NEGATIVE
last night after long drive slept really well now time for dinos wasstraat,POSITIVE
i wish you guys had gotten it on video,POSITIVE
cool im tempted too see it again i feel sorry for jb though because there were hardly any people,NEUTRAL
haha go martin his fixed our ski like a million times,POSITIVE
noooo my favorite coworker just got a new job hes doing marc jacobs shows now not fair i dont want him go,NEGATIVE
my bff rocking hotel california now no songs done stay the same whats next hmmm careless whisper,NEGATIVE
nice one,POSITIVE
yes but they hate it when we do itsilly boys,NEGATIVE
btw short notice i know but were rsvping no for your party thanks so much for the invitation though im out for nite too,POSITIVE
im sorry but lol what is this about waitt you think your mum would still let you do bday stuff this weekend,NEUTRAL
hey you thats kinda mean dont yu think,NEGATIVE
houdin blind faith thats a crackup,NEGATIVE
has work this afternoon,NEUTRAL
how inconsiderate,NEGATIVE
if aint bee then it aint meya heard me this for u keemie,NEUTRAL
i cant take it,NEGATIVE
what cant believe it,NEGATIVE
nooooo serena and darrian dont remember each other and ive been waiting all day to see them confess their love,NEUTRAL
has got a degree in bs,POSITIVE
just read an article that buying ips doesnt necessary mean to get developement teams does that mean,NEUTRAL
nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys then headin to sleep early start am x,NEUTRAL
thanks it was a ballroom dancing competition,POSITIVE
i concur with its priority on todays to do list httptwittercomkaraswstatus,POSITIVE
ohh shardup hehe hes hot lah gotta admeeet bleh,NEUTRAL
my dads not feeling well i want to make him soup suggestions guys get well soon ayah,NEGATIVE
the dates of the hockey games were confused theyre next week,NEGATIVE
wellonly one week left of my holidayssad sad,NEGATIVE
karaoke at a small town bar having a wonderful time,POSITIVE
i care about eurovision and yes they have a jurybased vote this year eurovision,POSITIVE
nothing like homemade paranthas for breakfast,POSITIVE
hey bettiye i did see her stay tuned for videos and blog hows was obsessed i need to get thru exams then imma watch it,NEUTRAL
west and by music i meant awesome christian artists,POSITIVE
please dont vote for her out of sympathy bgt,NEGATIVE
love that birdy nest though i already got us another kind,POSITIVE
missing lol plaid bud haha i cant do the bg right,NEGATIVE
about to make happen pu n m,NEUTRAL
if yall say so i trust you on that one,NEUTRAL
oh yeah happy mothers day to every mom out there and to my friends moms,POSITIVE
colleague that helped by creating his units site in iweb was not helpful trash code css files for a page site no optimizing,NEGATIVE
haha wow theres a song called hit me on twitter lmao okay gnight,POSITIVE
jay leno has one more show left as the host of the tonight show,NEUTRAL
i fatfingered the coke machine so i am drinking a diet pepsi instead of a diet dr pepper i wish the machine used error correction,NEUTRAL
def wants to cuddle it out maybe play but has no one to do it with the bc is far away,NEGATIVE
off to work now apparently sun shining not a valid excuse to stay home,NEUTRAL
im grounded til tomorrow sorry to anyone i made plans with itll have to be tomorrow annoyed httpplurkcompxr,NEGATIVE
watching my fav movietwo can play that game ever notice how men start to act up around spring time shante smith,POSITIVE
hope my roommates having a good morning without tp and soap,POSITIVE
no im in the us for the weekend not the uk,NEUTRAL
yeah i guess my password was also changed i was not able to login my fb cahnge my pw again ufff,NEUTRAL
yus he was really nice,POSITIVE
being broke on the day guitar hero metallica comes out boooooooo,NEGATIVE
has more followers than me i wanna be as cool as her follow her so that will never happen,NEUTRAL
revamping my recording studio today and adding some nice high end outboard gearvery exited,POSITIVE
esl if in doubt wash separately normal concern is something fading onto the white,NEUTRAL
had to cancel subscriptions today to nzz and economist at office costsavings luckily they also have online versions,NEUTRAL
cleaning out my desk ive found a betting slip from three months ago i stuck a tenner on newcastle getting relegated in the money,NEUTRAL
fucken tired as its sunny good day deffff,NEGATIVE
its so obvious holly will go thru on the public vote straight away sooo obvious then aidan and greg for judges but neither should go,NEUTRAL
not so awesome now huh lol,NEUTRAL
thank a chut chc vy qu hik chc em phi i hc kha ph cp kin thc c kh gp,POSITIVE
hmmm essense awards would be fun but also pricy,POSITIVE
volunteering at down syndrome indiana on wednesday,NEUTRAL
i want my katie,NEUTRAL
in filipino if u say nakuh grabeh its like sayin omg,NEUTRAL
sometimes i wish i were a man i could pee were i stand and scratch my chest but instead here lies a breast hah,NEGATIVE
thats actually not that fun as you would think i was hurting for a week after a similar experience,NEGATIVE
good morning,POSITIVE
feel like death evil headache and need to pack and drive to parents bum,NEGATIVE
apparently its star wars day today so may the th be with you httptinyurlcomaxsujx,NEUTRAL
i thought follow friday was about gaining new friends not losing them,NEUTRAL
what brings you to our fair island today,NEUTRAL
startin to get a head ache uuuggghh,NEGATIVE
i was going to hiddenfile it and youre thinking about youtube so nott lol hey put the phone down and more swimming,NEUTRAL
wish it wasnt raining,POSITIVE
dont leave us,NEUTRAL
i feel lost i keep running in my head from staring faces haha basicallyheadache eyes hurt,NEGATIVE
anncole i thinks thats right lol please follow me much appreciated,POSITIVE
i love that joan rivers says its family first,POSITIVE
happy mothers day to all the moms love you mom,POSITIVE
hoping that this will just heal on its own because anything i put on it just makes it worse owww,NEUTRAL
omg i dont blame you hope you didnt hurt him too bad,POSITIVE
its cloudy and damp over here too i hope it doesnt rain for tonites track meet id hate to do interviews in the rain,POSITIVE
one of the estate agents next door just caught me singing along to wham,NEUTRAL
was actually done by my cousin,NEUTRAL
my bad i thought you were talking about today,NEGATIVE
lokelani i have no idea,NEUTRAL
britain is,NEGATIVE
i have trouble updating,NEGATIVE
why did sound input for my computer stop working its not the mic or jack usb webcam mic doesnt work either checked input controls,NEGATIVE
heheh qualifying was pretty exciting tho,POSITIVE
i loveeee ny getting breakfast then gonna go mimis im sooo tiredddd missing him odeeee love you,NEUTRAL
i know i just got off the phone with them it will leave a giant hole on mill regions also closed,NEUTRAL
sizzling outside work inside double,NEUTRAL
morning john yes i do however i have a diary clash and sadly cant attend,NEUTRAL
im so sorry i dont understand why some people expect everyone to react to these things with the same poise as themselves,NEGATIVE
need a tickettttt gah ya youve got me on there reason havent listened to dear elliott for a few weeksoverdue,NEGATIVE
no they didnt,NEUTRAL
speaking of which we need to talk soon,NEUTRAL
hi jonas brothers you came to argentina la otra vez,NEUTRAL
i dont see how there could possibly be another choice,NEGATIVE
oh chris so sorry about mr raccoon obviously not a female cuz any female of any species would adore you hugs angel,NEUTRAL
home for the night to hang out with my mom and study,NEUTRAL
im researching nyc stuff,NEUTRAL
my face an my arms tragic seriously,NEGATIVE
me too thats why im driving down to cali in july for hin pleasanton,NEUTRAL
catching the last bit of later with jools last in series sob cry,NEGATIVE
man i cant stop being freakin hungry,NEUTRAL
my goodness i go single and goes crazy haha this i like being single too much i do what i wantholla,POSITIVE
i have poop on my shirt and a insanely cracked screen on my iphone daaaang,NEGATIVE
better than nodding off when youre in one lol,NEUTRAL
httptwitpiccomwkpl widescreen laptop rotation comics awesome,POSITIVE
haha yes theres a lot to be said for nekkid religion,NEUTRAL
lol she is fine the way she is how has your weekend been,POSITIVE
yes it definitely paid off thanks the advice,POSITIVE
i miss my puppies,NEGATIVE
kwanghock it is the hao da za ji pa i miss the food there so much,NEGATIVE
omg again im so buying that on dvd yeahness for another good movie also thanks to my movie buddies,POSITIVE
had a cracking night last night dont think ive ever laughed so much nice lazy day today woop,POSITIVE
had the best weekend ever xxxxxxxxxxxxxxxxxxxxxx,POSITIVE
playing man utdkick off champions league nd leglol,NEUTRAL
glad to be home i wish i could make feel better,POSITIVE
this is a horrible day,NEGATIVE
might buy some ipod apps later hmmm,NEUTRAL
gets to go home im here until,NEUTRAL
o dear hes here omgogmgo u didnt see that i was going to u,NEUTRAL
awesome what kind,POSITIVE
fantastic weekend hairdressers stylish luncheons a fabulous girlie night with wine cheeses chocolatesand dancing till morning,POSITIVE
iam eating pizza want some haha,NEUTRAL
well i greatly appreciate your comment that means a lot to me im working on both of themwork in progress you know,POSITIVE
hmmm i thought u were sleeping too bad i cant see those videos until tomorrow night,NEGATIVE
haha nice to know im not alone working in the bbc and cant see it,POSITIVE
httptwitpiccomfnaa haha love you two girl,POSITIVE
twee tweetlol,NEUTRAL
sorry i chili cheese dogged without you,NEGATIVE
brittany moved,NEUTRAL
oh how today sucks,NEGATIVE
grad present photos on facebook,NEUTRAL
lol thanks,POSITIVE
kymonkey hope u have an amazing day today monkey u deserve it no cheating on dew looking at the picture lol happy bday,POSITIVE
hi my name is chelsea and i respect your opinion when it comes to dwts you were great on there too,POSITIVE
laying in the bed boreddddd looking through old cookbooks for new recipes,NEGATIVE
sitting on chloes little trike thingo its a girraffe ill most probobly get yelled at with in the next minute or so ohhh well,NEUTRAL
geometry is so boring waste of time more minutes left,NEGATIVE
cant find my red lighter that reminds me of amy,NEUTRAL
sure i willl,NEUTRAL
hates being sat around alone on a friday night big sad old loser,NEGATIVE
good luck keep rockin,POSITIVE
uppercut that was such an old man thing to say,NEUTRAL
itts the big time saturday night playing canasta then a movie thenpsych homework stay shiny and love everybody,POSITIVE
om if i should paint my fingernails green oh and it just so happens i do paint them green marvelous,POSITIVE
were you born in a barn would you like some hay youtube the mother song,NEUTRAL
just picked up her blackberry from the middle of the street both she and it are crushed,NEGATIVE
got me a dark red hair dye going to get some bleach,NEUTRAL
just booked my tickets for london on thursday im so exicted,POSITIVE
thats exactly how i feel i hope you start feeling better soon,POSITIVE
i hope i can find a store to take us,NEUTRAL
everyone get buckonellen one of the topic things,NEUTRAL
ah it doesnt work for me but i just want to say i love the beach girl you guys are acee england loves you,POSITIVE
cant wait to do some of those things,POSITIVE
looks like both to me alison,NEUTRAL
is making breakfast,NEUTRAL
perhaps because its am minday morning,NEUTRAL
im totally gutted i ended up with my foot in a cast today so i cant travel to nottingham now to see you guys,NEGATIVE
just a reminder to hydra clients to check your email for important account updates,NEUTRAL
finallyy done and done cleann layn down time bed goshh its oclock lol nite nite twitta heads,NEUTRAL
is so sick of myself my life im never going to be as good i want need to be xoxoxo,NEGATIVE
i dont like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death,NEGATIVE
its official the twilight saga has endedsighmy life is empty,NEUTRAL
not feeling very good at all why does this have to happen today of all days not going to friends tonight,POSITIVE
oh no i totally forgot he played today,NEGATIVE
good morning off to the gym i go,POSITIVE
ugh i cant breathe right today,NEGATIVE
yay i was supposed to be there next weekend but its off now but ima make it out therei philly,POSITIVE
i am soo happy but frustrated at the same time s ohh noo britney is recording her new video for radar sooo exxciiteed,POSITIVE
you wanna know whats worse my coworker just brewed a fresh cup of coffee and all i can think about is bacon,NEGATIVE
oh how cool ok so for your head just laydown and put ice on it that should heep the swelling down i feel really bad,NEGATIVE
chris sab and i comme estas,NEGATIVE
after many attempts i cant figure out how put a pic in the avatar tells me pic is too big frustrated tryingsorry,NEGATIVE
yeah i much prefer tweetdeck but if you must have multiple accounts,POSITIVE
i just dyededed my hair,NEUTRAL
im stuck with boo jeeeez shoot me now,NEGATIVE
i use newsfire works like a charm,POSITIVE
i just had to look up endometriosis oy,NEGATIVE
im giving up on you i dont care how you mess up your life now,NEGATIVE
shareeee,NEUTRAL
needs a yummy breakfast after her shift,POSITIVE
happy mothers day to all the grown n happy the lil prego smuts lol just playing everyone is loved happy mothers day god bless,POSITIVE
loves it when mom and dad come to visit nothin better,NEUTRAL
httptwitpiccomwl love it u have a great job,POSITIVE
dad just said that our trip to uk is cancelled due to da swine flu ooops sorry abang,NEGATIVE
i want alexis bledel back on screen every thursday night,NEUTRAL
how did i give birth to a screamer i hate screaming children i guess i hate screaming children besides my own now,NEGATIVE
what on earth happened to wentworths page im devastated as im sure all of his fans are,NEGATIVE
wordsaftersex ow rug burns,NEUTRAL
places to find you if youre not home marilyn and seria beach,NEUTRAL
i just got a wiff of pazik fart,NEGATIVE
not feeling too good at all about to head to work from not a bad shift just not fun when you dont feel well hope it goes fast,NEGATIVE
hahaha is he snoring too,POSITIVE
wait till the vacation ends u shud be cycling a lot then,NEUTRAL
time to do house chores ugh,NEGATIVE
come home then not so boring here,NEGATIVE
no your not they are very cute how you going being a daddy,POSITIVE
john is an amazing book just what i needed to brighten my mood,POSITIVE
i cant sleepi keep thinking about the puppy i played with today,NEUTRAL
nvm i just got ur message that ur sick,NEUTRAL
is happy mothers day taking mum out for dinner to one of my favourite restaurants down glenelg now,POSITIVE
notthebest weekendbut oh welli have a right to be sad,NEGATIVE
sitting at homeneed to be pricing the garage sale itemsbut i have no help so its boring by myself,NEGATIVE
thanks end up going to makino chaya,POSITIVE
i love you host me lmao,POSITIVE
apparently havent tried the site tho maybe will get better results,POSITIVE
noooo all summer i wont see your charming little face all summer,NEGATIVE
you know what that cowboy hat in your pic made me smile today you dont see many of those in japan,POSITIVE
im super hungry waiting for my biotch to feed me,NEUTRAL
seeing love at the club actually made me,NEUTRAL
wait no wind in hair that would be illegal i would never break the law no never,POSITIVE
youre not the only one surprised that freetds and utf dont just work but youll get it right eventually,POSITIVE
what a wonderful dayi am going to sleep so well tonight,POSITIVE
morning sunshine,NEUTRAL
yes nice i missed a lot of fun exams you are looking goodhair,NEUTRAL
hopefully ill get to see htb next week and la really soon cant wait,POSITIVE
really wants to go see ai tonight,NEUTRAL
feels strong contractions but wants to go out httpplurkcompwxidk,NEUTRAL
will have to pare down his collection of portraits of and bangbang,NEUTRAL
this is how we do itttt,NEUTRAL
my to do list is bananas before i leave for europe boooo,NEUTRAL
well thats even worse cuz when it gets hurt everyone is in pain but poor stephen has a smushed twitter now,NEGATIVE
sweeny todd is deadset one of the best movies of all time,POSITIVE
finally managed to catch her boyfriend on skype sooo happy now,POSITIVE
oh i dont really have much of an opinion on her either way its just a night to rip everything,NEUTRAL
i got much do nite b bored in bath still hav wash dry straight hair get clothes ready etc,NEUTRAL
i am not doing much all well,NEGATIVE
i tried listenin to music half an hour tried readin a really boring bookstill wide awake,NEGATIVE
i know anne and judy,NEUTRAL
those workmen extending r block cant start this early surely its am and already theyre making a racket and woken me up,NEUTRAL
lpz yeah text me i wnat to go but my car is broken,NEGATIVE
waiting for danny to text me back xoxo,NEUTRAL
had fun nitei was pleasantly surprised,POSITIVE
my teratoma has a cavity and is experiencing malepattern baldness,NEGATIVE
lucy is hating on my gweg,NEGATIVE
oh whats up,NEUTRAL
ok when will this post rny girl learn rich sugary food is a bad idea no more golden graham bars out of the vending machine bleck,NEGATIVE
just found out that my husbands grandma fell down the stairs is at the hospital with several broken bonespraying hard,NEGATIVE
quick thoughts tired happy satisfied entertained excited oh and a bit in love,NEUTRAL
im way to hungry to even think i cant go to work on an empty stomach like this,NEUTRAL
unless you mean the hours a week i use for sleeping yeah suppose i could use those,NEUTRAL
im eating sliders at barjohnnys theyre pork tho not beef still on the search,NEUTRAL
henrie how are youwhat are you doinganswer me plz,NEUTRAL
why am i weird,NEGATIVE
arrogant on tap in oregon what,NEGATIVE
this is not my day,NEGATIVE
httppicgdfadc one sunday night at helsinki we hadnt drink anything xd yeah right,NEUTRAL
morning im up and ready weeee its a sunday,NEUTRAL
i was gonna text u and ask what puff meant,NEUTRAL
friends are gone sushi movies laughter just what i needed fun,POSITIVE
yeah but too late hun lol,NEUTRAL
woe its definitely no fun to travel first class with a bike you have to fight your way through coaches til you reach your seat,NEGATIVE
im seeing quite a few protofurries here now that i think of it acen,NEUTRAL
boring what ugh come back to of then,NEGATIVE
haha i like that youre actually saying thanks to the bots never looked at it like that,POSITIVE
thats bad as it affects all the languages that run on the jvm too bad,NEGATIVE
their inability to manage money tough job market and theyre getting behind on bills this is why no savings is bad,NEGATIVE
off for a run moonday is not that bad after all fb,NEUTRAL
very much so you know i am coming now on thursday too right are there door sales,NEUTRAL
yep exactly and im really sad about this touri know im gonna cry at my last mg,NEGATIVE
theres only one more cherry dr pepper left in the fridgethank god im addicted to that stuff but it does sad things to my skin,NEUTRAL
lawrence did you forget something this morning you nearly ran me over at the bottom of the hill its very very warm in the shop x,NEGATIVE
hey rdacla presentation was too large to post sorry from rules to entities cataloguing with rda live httpustreamjl,NEGATIVE
safer to say that your cube is now a sphere but roll with it buddy it is an awesome time esp the st one,POSITIVE
rankin and until soy beans have teets soy milk is not milk,NEUTRAL
so disapointedgood evans they sound really bad so out of tune britainsgottalent,NEGATIVE
on my way to drivers training,NEUTRAL
im having a baby girl in the next days i think im gonna keep this handy httpbudurlcomfp funny stuff,NEUTRAL
kellie its a major problem okay alex what is kellie hahahahahahahaa your face,POSITIVE
i left my ipod in the car so now its all warm,POSITIVE
workin,NEUTRAL
season of lie to me was serious now here comes the wait,NEUTRAL
i know guess i was hoping theyd revitalize the plot lines as well instead of reverting to old cliches,POSITIVE
this is funny we just discussed bela lugosi over dinner his apearance in plan b from outer space best movie ever,POSITIVE
mmmmmm mcdonalds coffee is soooooo goodmaybe going to hookah tonight with the abbster,POSITIVE
i slept through my alarms woke up at instead of i feel like a complete tool,POSITIVE
great site the photos on it are fantastic will be very useful for my visit to pembroke inc skomer in june,POSITIVE
my hubbys a vet so we get that animals are like children all the best hope ur biz is going well,POSITIVE
next time,NEUTRAL
akarowan he could be talking to me hes probably not though,NEGATIVE
the holy cow is what did this to me,NEUTRAL
you lucky girl i also wanna see them again lol i wish theyd come to europe again but i doubt that,NEUTRAL
right now on my justintv channel weeks until my gf has a newborn wwwjustintvkubbur,NEUTRAL
poor grace you need to date a cute male nurse,NEUTRAL
happiest girl in the world best weekend ever and i cant wait for next weekend either so grateful for all my blessings,POSITIVE
wave would trend higher that bing,NEUTRAL
what youre not really an alcoholic i am v disappointed d seriously though i got that you were kidding,NEGATIVE
watching because i said so happy mothers day,POSITIVE
st day of work today was a bit tiring but ok lol now onto college work,NEUTRAL
wow you mom has a lot of energy im getting tired just reading your tweet and ur living it,NEGATIVE
argggggg car crash tv its just sooooooooo horrible to see her like that bgt,NEGATIVE
good point mine is on its way how did he get delivered i will post pics too wen i get him,POSITIVE
trader joes sushi is a fail,NEGATIVE
their coming tomorrow morning and its sort of an impossible task i just need to clear some space thanks though,NEUTRAL
thats one of the reasons we thought should we have a kid nah lets get a piano instead you poor buggers,NEGATIVE
i know ahh so fun,POSITIVE
why i gotta be all that i sad now,NEGATIVE
ottawa have fun,POSITIVE
its because finished the recordings,NEUTRAL
gnight twitterverse thanks for keeping me entertained,POSITIVE
make a prank call for me,NEUTRAL
really rather drunk drunk thoughts how am i getting to work tomorrow is loz alive does gandhi read comic books we will never know,NEUTRAL
my sympathies been here minutes and had enough will escape soon,NEUTRAL
howz it going hun,NEUTRAL
im sitting around wanting to do something any ideas,NEUTRAL
yes fb ah i miss you,NEGATIVE
and she was all like dude i care about you and it made me smile yea that teaches me not to drive on e lol,POSITIVE
aguirre now i wish i was going,POSITIVE
so what are you all doing im eating crackers yummy the unsalted ones of course i only do salt in my caviar,POSITIVE
i believe that is true fml is quite the phenomenonall thx to superbad,NEUTRAL
havent used twitter in awhile bgt drawing summer finals,NEUTRAL
omg i got a explosion of new followers hello new followers,NEUTRAL
been i while since ive been on bogged under with exams eugh at least theres only left britains got talent,NEUTRAL
i am talkin on da phone and typin at da same time,NEUTRAL
all dressed up and no where to go,NEGATIVE
watching children and it i really should be studying ill start soon,NEGATIVE
more to thank for ff shouts and heaps more sry will be here all night i now realise,NEUTRAL
ok ive eaten some food and now bored to death in my room seriously there is nothing to do guitar been taken to the venue,NEGATIVE
psych has to be better than neuro or at least in a better part of town i miss you,NEGATIVE
its raining that fine rain u know the fine rain that wets you the most,POSITIVE
sorry missed your post earlier about edinburgh i am biased towards its awesomeness glad you enjoyed your visit,NEUTRAL
i dont want you to go to india,NEUTRAL
apparently its degrees in kilkenny now and some comedy would be a great remedy to my boredom why the hell did i leave kilkenny,NEGATIVE
loloh man can i untwit something haha i mean my lean mean fighting machine i sooo cant believe you called me out,NEUTRAL
i wlda seen it wit you dummyhead,NEGATIVE
ok so any ideas of what to do tomorrow to make it fun cause i dont know what to do,NEUTRAL
im going to obu for the night,NEUTRAL
i have an awesome picture of happy pint but its not sending,POSITIVE
when are u gonna host saturday night live ive been waiting for like yearsssssss,NEUTRAL
no it doesntsheesh,NEUTRAL
dinasadik forensic mein kya hai bas rat te jaao and microhavin a micro exam soonthe lab diagnosis of all d individual bacteria,NEUTRAL
michele but sometimes not having to say nice things all the time is kinda fun teeheeand now ill put this back on as well halo,NEUTRAL
ill save you,NEUTRAL
just got home from drews bday,NEUTRAL
cheers john thanks for following me look forward to your twitterings too think thisll be a good place for my rants,POSITIVE
im so proud of my nau graduate friend were getting ready to celebrate tonight itll be an international ordeal,POSITIVE
i am currently doing a few posts on my business blog httpventurefilecom check it out if you like it,NEUTRAL
you need to follow me so i could send you a direct message,NEUTRAL
what was said,NEUTRAL
brazil looooooooves you i miss you th may the perfect day off,POSITIVE
itgood den fell asleep on me,POSITIVE
i tell him today s its his last day,NEUTRAL
roe oh well ive never seen him do anything before so im not gonna say anything,NEUTRAL
chillin with the rents and looking at hilarious old photos well funny,POSITIVE
getting all annoyed cos this weekends going to be hot im bloody working,NEGATIVE
yeah ill make sure i keep you updated i get it all delivered,NEUTRAL
httptwitpiccomhad and brazil we love you too,POSITIVE
rockett i know and he laughed at the stupid womens rights joke wth glad we have the same humor,POSITIVE
cleaning cleaning cleaning today then working out i love not working,NEUTRAL
i guess ill never have it but the sad thing is that u didnt put an alternate email cause if u dont remember ur secret,NEGATIVE
ouch my earphones just shocked me,NEGATIVE
well the one thing where you lay on the floor i couldnt do all of themim very out of shape,NEGATIVE
haha its under so ive got no one to go with curse none of my friends liking tai lol,NEGATIVE
poor baby girl chloe is freaking out because of all of the noise she so cute and pitiful hiding under the middle of the table,NEUTRAL
yeah the spammers are discriminating none of the females are part of the target group apparently,NEGATIVE
would you believe that im done with homework for the rest of my life,NEUTRAL
theres just something about a sexy blonde rubbing herself in a field httpworldsbestpornmoviescomfaithmovhtm,NEUTRAL
i love it tell me it didnt match my shirt perfectly can you just not move please what am i supposed to do without you,POSITIVE
it is a sad commentary is it not,NEGATIVE
i know exactly what you are saying its so not cool that is why tapes were better p,NEUTRAL
i miss you too,NEGATIVE
law and order yeah i stay home on sat nite,NEUTRAL
seesmic desktop seems pretty good nice find,POSITIVE
what an incredibly great day hahaha,POSITIVE
awww thank you,POSITIVE
i did dat time my boss text me saying tweet me n my office after dis tweeting is ova i havent dun it since,NEUTRAL
roughnight,NEGATIVE
morning well excited dancing down the park todayyy should be good wooo cmon venue,POSITIVE
i love it when justin timberlake hosts snl hilarious,POSITIVE
if i can buy sleep for you i will thats what you need,POSITIVE
rainy day is rainy,NEUTRAL
today sonny with a chance came to brazil i loved it youre amazing please reply,POSITIVE
i dont know how you do it,NEUTRAL
do i discern a request for hulu support excellent idea,POSITIVE
finally feels like a nice summer day and im feeling sick,NEUTRAL
happy juddday everyone,POSITIVE
listening to yultron,NEUTRAL
no im not going,NEUTRAL
yeah but mr moms i would say appreciate their wives much more than the avg dad i have a new found respect for mothers now,POSITIVE
chapter probably on monday i still need more comments,NEUTRAL
actually i think the na release date was confirmed for september so its a bit more of a wait,NEUTRAL
is you cat clean again hope so,POSITIVE
i tried calling work times and they wont answer,NEGATIVE
